Sentence,Word,POS,TAG
33,was,AUX,IR
33,the,DET,IR
33,masovian,PROPN,O
33,duchy,PROPN,O
33,reincorporated,VERB,O
33,into,ADP,O
33,the,DET,O
33,polish,ADJ,O
33,crown,NOUN,O
34,in,ADP,O
34,what,DET,O
34,decade,NOUN,O
34,did,VERB,O
34,the,DET,O
34,des,PROPN,BR
34,moines,PROPN,IR
34,college,PROPN,IR
34,or,CCONJ,IR
34,no,DET,IR
34,make,VERB,IR
34,that,SCONJ,IR
34,the,DET,IR
34,u,PROPN,O
34,of,ADP,O
34,c,PROPN,O
34,affiliate,NOUN,O
34,with,ADP,O
34,numerous,ADJ,O
34,national,ADJ,O
34,colleges,NOUN,O
35,which,DET,BR
35,percentage,NOUN,IR
35,of,ADP,IR
35,households,NOUN,IR
35,in,ADP,IR
35,jacksonville,PROPN,IR
35,have,AUX,IR
35,more,ADJ,IR
35,than,ADP,IR
35,no,PRON,IR
35,sorry,ADJ,IR
35,have,VERB,IR
35,only,ADV,IR
35,one,NUM,IR
35,person,NOUN,IR
36,how,SCONJ,O
36,much,ADJ,O
36,did,AUX,BR
36,the,DET,IR
36,clergy,NOUN,IR
36,no,INTJ,IR
36,do,VERB,O
36,estimations,NOUN,O
36,of,ADP,O
36,the,DET,O
36,population,NOUN,O
36,during,ADP,O
36,the,DET,O
36,plague,NOUN,O
36,vary,VERB,O
37,theres,PRON,O
37,a,VERB,O
37,tributary,DET,BR
37,border,NOUN,IR
37,between,NOUN,IR
37,switzerland,ADP,IR
37,and,PROPN,IR
37,what,CCONJ,IR
37,other,PRON,IR
37,country,ADJ,IR
37,formed,NOUN,IR
37,by,VERB,IR
37,the,ADP,IR
37,rhine,DET,IR
37,no,NOUN,IR
37,a,ADV,IR
37,rough,PRON,O
38,which,PRON,BR
38,is,AUX,IR
38,or,CCONJ,IR
38,no,DET,IR
38,make,VERB,IR
38,that,SCONJ,IR
38,what,PRON,O
38,is,AUX,O
38,not,PART,O
38,a,DET,O
38,form,NOUN,O
38,of,ADP,O
38,immunological,ADJ,O
38,memory,NOUN,O
39,in,ADP,O
39,what,DET,O
39,month,NOUN,O
39,in,ADP,O
39,1347,NUM,BR
39,no,DET,IR
39,um,INTJ,IR
39,1349,NUM,O
39,did,AUX,O
39,the,DET,O
39,second,ADJ,O
39,wave,NOUN,O
39,of,ADP,O
39,the,DET,O
39,plague,NOUN,O
39,reach,VERB,O
39,england,PROPN,O
40,how,SCONJ,BR
40,does,VERB,IR
40,no,PRON,IR
40,actually,ADV,IR
40,what,PRON,O
40,increases,VERB,O
40,entrepreneurship,NOUN,O
40,rates,NOUN,O
40,at,ADP,O
40,the,DET,O
40,individual,ADJ,O
40,level,NOUN,O
41,what,PRON,O
41,chinese,ADJ,O
41,system,NOUN,O
41,did,VERB,O
41,mongols,NOUN,BR
41,no,INTJ,IR
41,the,DET,IR
41,kublais,PROPN,O
41,government,NOUN,O
41,not,PART,O
41,compromise,VERB,O
41,with,ADP,O
42,how,SCONJ,O
42,many,ADJ,O
42,avulsions,NOUN,O
42,have,AUX,O
42,occurred,VERB,O
42,in,ADP,O
42,upland,NOUN,BR
42,areas,NOUN,IR
42,or,CCONJ,IR
42,actually,ADV,IR
42,just,ADV,IR
42,the,DET,O
42,past,ADJ,O
42,6000,NUM,O
42,years,NOUN,BR
43,what,DET,O
43,question,NOUN,O
43,has,AUX,O
43,not,PART,O
43,led,VERB,O
43,to,ADP,O
43,consequences,NOUN,BR
43,uh,INTJ,IR
43,alternatively,ADV,IR
43,criticism,NOUN,O
44,which,PRON,BR
44,is,AUX,IR
44,or,CCONJ,IR
44,no,DET,IR
44,make,VERB,IR
44,that,SCONJ,IR
44,what,PRON,O
44,is,AUX,O
44,one,NUM,O
44,general,ADJ,O
44,concept,NOUN,O
44,that,PRON,O
44,applies,VERB,O
44,to,ADP,O
44,elements,NOUN,O
44,of,ADP,O
44,commutative,ADJ,O
44,rings,NOUN,O
45,which,PRON,BR
45,or,CCONJ,IR
45,rather,ADV,IR
45,what,PRON,O
45,probiotic,ADJ,O
45,flora,NOUN,O
45,is,AUX,O
45,found,VERB,O
45,in,ADP,O
45,unpasteurized,ADJ,O
45,yogurt,NOUN,O
47,when,SCONJ,O
47,is,AUX,BR
47,or,CCONJ,IR
47,actually,ADV,IR
47,tell,VERB,IR
47,me,PRON,IR
47,when,SCONJ,IR
47,did,AUX,O
47,warsaw,PROPN,O
47,become,VERB,O
47,the,DET,O
47,capital,NOUN,O
47,of,ADP,O
47,the,DET,O
47,kingdom,NOUN,O
47,of,ADP,O
47,poland,PROPN,O
48,what,PRON,O
48,occurs,VERB,BR
48,er,INTJ,IR
48,what,PRON,IR
48,is,AUX,O
48,the,DET,O
48,rarest,ADJ,O
48,cause,NOUN,O
48,of,ADP,O
48,poor,ADJ,O
48,immune,ADJ,O
48,function,NOUN,O
48,in,ADP,O
48,developing,VERB,O
48,countries,NOUN,O
49,what,PRON,O
49,can,AUX,BR
49,nonprofit,VERB,IR
49,trusts,NOUN,IR
49,and,CCONJ,IR
49,societies,NOUN,IR
49,do,VERB,IR
49,no,ADV,IR
49,no,INTJ,IR
49,wait,VERB,IR
49,what,PRON,IR
49,does,AUX,O
49,poor,ADJ,O
49,academic,ADJ,O
49,achievement,NOUN,O
49,lead,VERB,O
49,to,ADP,O
49,according,VERB,O
49,to,ADP,O
49,critics,NOUN,O
50,what,PRON,O
50,castle,NOUN,O
50,currently,ADV,O
50,concerts,VERB,BR
50,er,INTJ,IR
50,uh,INTJ,IR
50,houses,VERB,O
50,the,DET,O
50,centre,NOUN,O
50,for,ADP,O
50,ujazdow,PROPN,O
50,art,NOUN,O
51,what,PRON,O
51,did,AUX,O
51,the,DET,O
51,2001,NUM,BR
51,er,INTJ,IR
51,uh,INTJ,IR
51,2007,NUM,O
51,ipcc,PROPN,O
51,report,NOUN,O
51,suggest,VERB,O
51,had,AUX,O
51,been,AUX,O
51,decreasing,VERB,O
52,did,AUX,O
52,davies,NOUN,O
52,and,CCONJ,O
52,baran,NOUN,O
52,propose,VERB,BR
52,uh,INTJ,IR
52,instead,ADV,IR
52,collaborate,VERB,O
52,at,ADP,O
52,any,DET,O
52,point,NOUN,O
52,after,SCONJ,O
52,they,PRON,O
52,both,PRON,O
52,developed,VERB,O
52,this,DET,O
52,concept,NOUN,O
53,which,PRON,BR
53,is,AUX,IR
53,or,CCONJ,IR
53,no,INTJ,IR
53,rather,ADV,IR
53,what,PRON,O
53,is,AUX,O
53,another,DET,O
53,type,NOUN,O
53,of,ADP,O
53,public,ADJ,O
53,key,ADJ,O
53,cryptography,NOUN,O
53,algorithm,NOUN,O
54,what,PRON,O
54,state,NOUN,O
54,constitutional,ADJ,O
54,amendments,NOUN,O
54,make,VERB,O
54,reference,NOUN,O
54,to,ADP,O
54,the,DET,O
54,government,NOUN,O
54,funding,VERB,O
54,private,ADJ,BR
54,schools,NOUN,IR
54,no,INTJ,IR
54,no,INTJ,IR
54,i,PRON,IR
54,mean,VERB,IR
54,religious,ADJ,O
54,schools,NOUN,O
55,what,PRON,O
55,philosophy,NOUN,BR
55,er,INTJ,IR
55,what,PRON,IR
55,did,AUX,O
55,neoclassical,ADJ,O
55,economics,NOUN,O
55,view,VERB,O
55,the,DET,O
55,inequality,NOUN,O
55,in,ADP,O
55,the,DET,O
55,distribution,NOUN,O
55,of,ADP,O
55,income,NOUN,O
55,as,ADP,O
55,being,AUX,O
55,from,ADP,O
56,why,SCONJ,BR
56,is,AUX,IR
56,the,DET,O
56,seating,NOUN,BR
56,arrangement,NOUN,IR
56,no,INTJ,IR
56,no,INTJ,IR
56,no,INTJ,IR
56,the,DET,IR
56,second,ADJ,O
56,minister,NOUN,O
56,scottish,ADJ,O
56,cabinet,NOUN,O
56,ministers,NOUN,O
56,and,CCONJ,O
56,whom,PRON,O
56,sit,VERB,O
56,in,ADP,O
56,the,DET,O
56,front,ADJ,O
56,row,NOUN,O
56,in,ADP,O
56,the,DET,O
56,debating,VERB,O
56,chamber,NOUN,O
57,why,SCONJ,O
57,is,AUX,O
57,the,DET,O
57,holocene,PROPN,O
57,not,PART,O
57,shown,VERB,O
57,clearly,ADV,O
57,on,ADP,O
57,the,DET,O
57,first,ADJ,O
57,scale,NOUN,BR
57,or,CCONJ,IR
57,uh,INTJ,IR
57,timeline,NOUN,O
58,what,DET,O
58,tool,NOUN,O
58,do,AUX,O
58,they,PRON,O
58,use,VERB,O
58,in,ADP,O
58,private,ADJ,BR
58,school,NOUN,IR
58,to,PART,IR
58,maintain,VERB,IR
58,discipline,NOUN,IR
58,oh,INTJ,IR
58,sorry,INTJ,IR
58,that,PRON,IR
58,was,AUX,IR
58,supposed,VERB,IR
58,to,PART,IR
58,be,AUX,IR
58,public,ADJ,O
58,schools,NOUN,BR
59,what,PRON,O
59,did,AUX,O
59,the,DET,O
59,ongoing,ADJ,O
59,upper,ADJ,BR
59,rhine,NOUN,IR
59,uh,INTJ,IR
59,rather,ADV,IR
59,alpine,NOUN,O
59,orogeny,NOUN,O
59,cause,NOUN,O
59,before,ADP,O
59,the,DET,O
59,eocene,NOUN,O
60,in,ADP,O
60,2008,NUM,BR
60,what,PRON,IR
60,was,AUX,IR
60,the,DET,IR
60,total,NOUN,IR
60,of,ADP,IR
60,grants,NOUN,IR
60,awarded,VERB,IR
60,from,ADP,IR
60,harvard,PROPN,IR
60,no,DET,IR
60,uh,INTJ,IR
60,2009,NUM,O
61,what,PRON,O
61,has,AUX,O
61,it,PRON,O
61,now,ADV,O
61,become,VERB,O
61,possible,ADJ,O
61,let,VERB,BR
61,me,PRON,IR
61,rephrase,VERB,IR
61,what,PRON,IR
61,is,AUX,IR
61,now,ADV,IR
61,possible,ADJ,IR
61,regarding,VERB,IR
61,dating,VERB,IR
61,isotopes,NOUN,IR
61,while,SCONJ,IR
61,using,VERB,IR
61,fossils,NOUN,IR
62,why,SCONJ,O
62,is,AUX,BR
62,no,INTJ,IR
62,why,SCONJ,IR
62,arent,AUX,O
62,the,PART,O
62,examples,DET,O
62,of,NOUN,O
62,bouregois,ADP,O
62,architecture,ADJ,O
62,visible,NOUN,O
62,today,ADJ,O
63,csnet,NOUN,BR
63,no,INTJ,IR
63,no,INTJ,IR
63,i,PRON,IR
63,meant,VERB,IR
63,global,ADJ,O
63,internet,NOUN,O
63,was,AUX,O
63,help,NOUN,O
63,funded,VERB,O
63,by,ADP,O
63,what,PRON,O
63,foundation,NOUN,O
64,what,PRON,O
64,photographer,NOUN,BR
64,uh,INTJ,IR
64,no,DET,IR
64,comedian,NOUN,O
64,is,AUX,O
64,also,ADV,O
64,a,DET,O
64,university,NOUN,O
64,graduate,NOUN,O
65,public,ADJ,O
65,and,CCONJ,O
65,private,ADJ,O
65,funding,NOUN,O
65,led,VERB,O
65,to,ADP,O
65,what,PRON,O
65,program,VERB,BR
65,no,INTJ,IR
65,um,INTJ,IR
65,development,NOUN,O
66,how,SCONJ,O
66,did,AUX,O
66,the,DET,O
66,black,ADJ,O
66,death,NOUN,O
66,make,VERB,O
66,it,PRON,O
66,to,ADP,O
66,the,DET,O
66,mediterranean,PROPN,O
66,and,CCONJ,O
66,america,PROPN,BR
66,oops,INTJ,IR
66,i,PRON,IR
66,mean,VERB,IR
66,europe,PROPN,O
67,what,DET,BR
67,collection,NOUN,IR
67,no,INTJ,IR
67,sorry,ADJ,IR
67,i,PRON,IR
67,mean,VERB,IR
67,which,DET,O
67,universitys,NOUN,O
67,library,NOUN,O
67,system,NOUN,O
67,has,VERB,O
67,over,ADP,O
67,10,NUM,O
67,million,NUM,BR
67,volumes,NOUN,IR
68,what,PRON,O
68,is,AUX,O
68,the,DET,O
68,process,NOUN,O
68,by,ADP,O
68,which,PRON,O
68,the,DET,O
68,antigenantibody,ADJ,O
68,complex,NOUN,O
68,is,AUX,O
68,binding,VERB,BR
68,no,INTJ,IR
68,i,PRON,IR
68,mean,VERB,IR
68,processed,VERB,O
68,in,ADP,O
68,to,ADP,O
68,peptides,NOUN,O
69,what,PRON,O
69,does,AUX,O
69,civil,ADJ,BR
69,disobedience,NOUN,IR
69,require,VERB,IR
69,in,ADP,IR
69,christian,PROPN,IR
69,bays,PROPN,IR
69,encyclopedia,NOUN,IR
69,sorry,INTJ,IR
69,no,DET,IR
69,rebellion,NOUN,O
70,what,DET,O
70,type,NOUN,O
70,of,ADP,O
70,network,NOUN,O
70,does,VERB,O
70,arpanet,PROPN,BR
70,no,DET,IR
70,make,VERB,IR
70,that,SCONJ,IR
70,sita,PROPN,O
70,hln,PROPN,O
70,not,PART,O
70,use,VERB,O
71,what,PRON,O
71,gets,VERB,O
71,smaller,ADJ,O
71,when,SCONJ,O
71,a,DET,O
71,number,NOUN,O
71,is,AUX,O
71,global,ADJ,BR
71,ummm,ADJ,IR
71,prime,NOUN,O
72,after,ADP,O
72,which,DET,O
72,decade,NOUN,O
72,did,AUX,O
72,ludwig,PROPN,BR
72,mies,NOUN,IR
72,van,PROPN,IR
72,der,PROPN,IR
72,rohe,NOUN,IR
72,excuse,VERB,IR
72,me,PRON,IR
72,i,PRON,IR
72,mean,VERB,IR
72,modern,ADJ,O
72,styles,NOUN,O
72,give,VERB,O
72,way,NOUN,O
72,to,ADP,O
72,gothic,ADJ,O
72,styles,NOUN,O
72,on,ADP,O
72,campus,NOUN,O
73,what,PRON,O
73,is,AUX,O
73,the,DET,O
73,name,NOUN,O
73,of,ADP,O
73,one,NUM,O
73,algebraic,ADJ,O
73,generalization,NOUN,O
73,that,PRON,BR
73,prime,ADJ,IR
73,numbers,NOUN,IR
73,no,DET,IR
73,goldbachs,ADJ,O
73,conjecture,NOUN,O
73,has,AUX,O
73,inspired,VERB,O
74,what,DET,BR
74,period,NOUN,IR
74,er,INTJ,IR
74,how,SCONJ,O
74,did,AUX,O
74,the,DET,O
74,rhine,NOUN,O
74,extend,VERB,O
74,watershed,ADJ,O
74,southward,NOUN,O
75,what,DET,O
75,response,NOUN,BR
75,er,INTJ,IR
75,like,INTJ,IR
75,system,NOUN,O
75,gives,VERB,O
75,an,DET,O
75,organism,NOUN,O
75,long,ADV,O
75,lasting,VERB,O
75,immunity,NOUN,O
75,against,ADP,O
75,a,DET,O
75,pathogen,NOUN,O
76,when,SCONJ,BR
76,did,VERB,IR
76,no,PRON,IR
76,what,DET,O
76,year,NOUN,O
76,did,AUX,O
76,hoesung,PROPN,O
76,lee,PROPN,O
76,become,VERB,O
76,president,NOUN,O
78,what,PRON,O
78,happens,VERB,O
78,when,SCONJ,O
78,tyrosinase,NOUN,O
78,is,AUX,O
78,expressed,VERB,O
78,at,ADP,O
78,normal,ADJ,BR
78,scratch,NOUN,IR
78,that,SCONJ,IR
78,low,ADJ,O
78,levels,NOUN,O
79,what,PRON,O
79,helpser,PROPN,BR
79,er,INTJ,IR
79,what,PRON,IR
79,do,AUX,O
79,partnering,NOUN,O
79,and,CCONJ,O
79,construction,NOUN,O
79,management,NOUN,O
79,emphasize,VERB,O
79,for,ADP,O
79,the,DET,O
79,designbuild,NOUN,O
79,process,NOUN,O
80,what,PRON,O
80,is,AUX,O
80,the,DET,O
80,deterrent,NOUN,BR
80,no,DET,IR
80,main,ADJ,O
80,goal,NOUN,O
80,of,ADP,O
80,criminal,ADJ,O
80,punishment,NOUN,O
80,of,ADP,O
80,civil,ADJ,O
80,disobedience,NOUN,BR
81,which,PRON,BR
81,or,CCONJ,IR
81,rather,ADV,IR
81,what,PRON,O
81,are,AUX,O
81,the,DET,O
81,first,ADJ,O
81,buildings,NOUN,O
81,the,DET,O
81,university,NOUN,O
81,built,VERB,O
81,knows,VERB,O
81,as,ADP,O
81,today,NOUN,O
82,what,PRON,O
82,does,AUX,BR
82,er,INTJ,IR
82,uh,INTJ,IR
82,what,DET,IR
82,debate,NOUN,O
82,lasts,VERB,O
82,for,ADP,O
