original,disfluent,annotation
in what month in 1349 did the second wave of the plague reach england,in what month in 1347 no um 1349 did the second wave of the plague reach england,F F F F E E E F F F F F F F F F F
what increases entrepreneurship rates at the individual level,how does no actually what increases entrepreneurship rates at the individual level,E E E E F F F F F F F F
 what chinese system did kublais government not compromise with,what chinese system did mongols no the kublais government not compromise with,F F F F E E E F F F F F
how many avulsions have occurred in the past 6000 yeas,how many avulsions have occurred in upland areas or actually just the past 6000 years,F F F F F F E E E E E F F F E
what question has not led to criticism,what question has not led to consequences uh alternatively criticism,F F F F F F E E E F
what is one general concept that applies to elements of commutative rings,which is or no make that what is one general concept that applies to elements of commutative rings,E E E E E E F F F F F F F F F F F F
what probiotic flora is found in unpasteurized yogurt,which or rather what probiotic flora is found in unpasteurized yogurt,E E E F F F F F F F F
what is circuit switching ,what is  packet or uh circuit switching,F F E E E F F
when did warsaw become the capital of the kingdom of poland,when is or actually tell me when did warsaw become the capital of the kingdom of poland,F E E E E E E F F F F F F F F F F
what is the rarest cause of poor immune function in developing countries,what occurs er what is the rarest cause of poor immune function in developing countries,F E E E F F F F F F F F F F F
what does poor academic achievement lead to according to critics,what can nonprofit trusts and societies do no no wait what does poor academic achievement lead to according to critics,F E E E E E E E E E E F F F F F F F F F
what castle currently houses the centre for ujazdow art,what castle currently concerts er uh houses the centre for ujazdow art,F F F E E E F F F F F F
what did the 2007 ipcc report suggest had been decreasing ,what did the 2001 er uh 2007 ipcc report suggest had been decreasing,F F F E E E F F F F F F F
did davies and baran collaborate at any point after they both developed this concept,did davies and baran propose uh instead collaborate at any point after they both developed this concept,F F F F E E E F F F F F F F F F F
what is another type of public key cryptography algorithm,which is or no rather what is another type of public key cryptography algorithm,E E E E E F F F F F F F F F
what state constitutional amendments make reference to the government funding religious schools,what state constitutional amendments make reference to the government funding private schools no no i mean religious schools,F F F F F F F F F F E E E E E E F F
what did neoclassical economics view the inequality in the distribution of income as being from,what philosophy er what did neoclassical economics view the inequality in the distribution of income as being from,F E E E F F F F F F F F F F F F F F
the second minister scottish cabinet ministers and whom sit in the front row in the debating chamber,why is the seating arrangement no no no the second minister scottish cabinet ministers and whom sit in the front row in the debating chamber,E E F E E E E E E F F F F F F F F F F F F F F F F
why is the holocene not shown clearly on the first timeline,why is the holocene not shown clearly on the first scale or uh timeline,F F F F F F F F F F E E E F
what tool do they use in public school to maintain discipline,what tool do they use in private school to maintain discipline oh sorry that was supposed to be public schools,F F F F F F E E E E E E E E E E E E F E
what did the ongoing alpine orogeny cause before the eocene,what did the ongoing upper rhine uh rather alpine orogeny cause before the eocene,F F F F E E E E F F F F F F
in 2009 what was the total of grants awarded from harvard,in 2008 what was the total of grants awarded from harvard no uh 2009,F E E E E E E E E E E E E F
what has it now become possible to do when dating isotopes while using fossils,what has it now become possible let me rephrase what is now possible regarding dating isotopes while using fossils,F F F F F F E E E E E E E E E E E E E
why arent the examples of bouregois architecture visible today,why is no why arent the examples of bouregois architecture visible today,F E E E F F F F F F F F
global internet was help funded by what foundation ,csnet no no i meant global internet was help funded by what foundation,E E E E E F F F F F F F F
what comedian is also a university graduate ,what photographer uh no comedian is also a university graduate,F E E E F F F F F F
public and private funding led to what development ,public and private funding led to what program no um development,F F F F F F F E E E F
how did the black death make it to the mediterranean and europe,how did the black death make it to the mediterranean and america oops i mean europe,F F F F F F F F F F F E E E E F
which universitys library system has over 10 millionvolumes,what collection no sorry i mean which universitys library system has over 10 million volumes,E E E E E E F F F F F F F E E
what is the process by which the antigenantibody complex is processed in to peptides,what is the process by which the antigenantibody complex is binding no i mean processed in to peptides,F F F F F F F F F F E E E E F F F F
what does rebellion require in christian bays encyclopedia,what does civil disobedience require in christian bays encyclopedia sorry no rebellion,F F E E E E E E E E E F
what type of network does sita hln not use,what type of network does arpanet no make that sita hln not use,F F F F F E E E E F F F F
what gets smaller when a number is prime,what gets smaller when a number is global ummm prime,F F F F F F F E E F
after which decade did modern styles give way to gothic styles on campus,after which decade did ludwig mies van der rohe excuse me i mean modern styles give way to gothic styles on campus,F F F F E E E E E E E E E F F F F F F F F F
what is the name of one algebraic generalization goldbachs conjecture has inspired,what is the name of one algebraic generalization that prime numbers no goldbachs conjecture has inspired,F F F F F F F F E E E E F F F F
how did the rhine extend watershed southward ,what period er how did the rhine extend watershed southward,E E E F F F F F F F
what system gives an organism long lasting immunity against a pathogen,what response er like system gives an organism long lasting immunity against a pathogen,F E E E F F F F F F F F F F
what year did hoesung lee become president,when did no what year did hoesung lee become president,E E E F F F F F F F
what was intent of celerons expedition,how did  sorry what was intent of celerons expedition,E E E F F F F F F
what happens when tyrosinase is expressed at low levels,what happens when tyrosinase is expressed at normal scratch that low levels,F F F F F F F E E E F F
what do partnering and construction management emphasize for the designbuild process,what helpser er what do partnering and construction management emphasize for the designbuild process,F E E E F F F F F F F F F F
what is the main goal of criminal punishment of civil disobedients,what is the deterrent no main goal of criminal punishment of civil disobedience,F F F E E F F F F F F F E
what are the first buildings the university built knows as today,which or rather what are the first buildings the university built knows as today,E E E F F F F F F F F F F F
what debate lasts for 55 minutes,what does er uh what debate lasts for 55 minutes,F E E E E F F F F F
what is the group called that does not agree with government at all,what do  no what is the group called that does not agree with government at all,F E E E F F F F F F F F F F F F
brownlee argues disobedience can be justified toward what institutions,brownlee argues opposition or maybe disobedience can be justified toward what institutions,F F E E E F F F F F F F
building printing is making it possible to flexibly construct small commercial buildings and private habitations in what amount of time,building printing is being researched or rather making it possible to flexibly construct small commercial buildings and private habitations in what amount of time,F F F E E E E F F F F F F F F F F F F F F F F F
the rhine forms the border between austria and what other country ,the rhine joins no um forms the border between liechtenstein no um austria and what other country,F F E E E F F F F E E E F F F F F
what provides chemical protection to pathogens,what provides respiratory tract secrete antimicrobial peptides no um chemical protection to pathogens,F F E E E E E E E F F F F
when was ziaulhaq born,what was er when was ziaulhaq born,E E E F F F F
which timeline is further expanded in the fourth scale,which timeline is further expanded in the second scale or make that the fourth scale,F F F F F F F E E E E E E F F
what network was designed by the french ,what network was directed no designed by the french,F F F E E F F F F
how much bandwidth is dedicated for each communication session,how  is packet switching characterized no wait just tell me how much bandwidth is dedicated for each communication session,F E E E E E E E E E E F F F F F F F F
when was the gerald ratner athletics center constructed,how was the no uh make that when was  the gerald ratner athletics center constructed,E E E E E E E F F F F F F F F
what decreases with the increase of income inequality,what type of rates uh no actually i want to ask what decreases with the increase of income inequality,F E E E E E E E E E E E F F F F F F F
who was made rich and prosperous prior to world war 1,what was or make that who was made rich and prosperous prior to world war i,E E E E E F F F F F F F F F F E
imperialism is confused with what other term,colonialism is no imperialism is confused with what other term,E E E F F F F F F F
what animal sometimes swims in the rhine,which or no make that what animal sometimes swims in the rhine,E E E E E F F F F F F F
which organization covers the cost of the president of the ipcc,which organization covers the cost of the primeminister sorry i mean president of the ipcc,F F F F F F F E E E E F F F F
secular arab nationalism was blamed for both the success of arab troops as well as what type of stagnation,secular arab nationalism was blamed for both the defeat of arab troops as well as what type of stagnation no sorry secular arab nationalism blamed for in addition to its success,F F F F F F F F E E E E E E E E E E E E E E E E E E E E E E F
when did the roman empire fall,when did the roman empire accept as her germanic frontier the waterboundary of the rhine make that fallfall,F F F F F E E E E E E E E E E E E E
what type of math was not advanced during the yuan,what type of math was advanced during the yuan no sorry which type wasnt advanced during the yuan,F F F F F E E E E E E E E E E E E E
how many years could separate outbreaks of the black death,when was no how many years could separate outbreaks of the black death,E E E F F F F F F F F F F
what the marginal utility of wealth per income per person do as that person becomes poorer,what the marginal luxury sorry utility of wealth per income per person do as that person becomes poorer,F F F E E F F F F F F F F F F F F F
what troops attacked fort william henry in early 1775,what troops attacked fort william henry in early 1757 sorry 1775,F F F F F F F F E E F
 what declined when arab nationalism suffered,what was or what declined when arab nationalism suffered,F E E E F F F F F
what techniques did chinese medicine include,how many er what techniques did chinese medicine include,E E E F F F F F F
what mechanisms do many species not utilize,what is the system um mechanisms do many species not utilize,F E E E E F F F F F F
what is the most distinctive feature of ctenophora,what is the most distinctive feature of cnidarian er sorry ctenophora,F F F F F F F E E E F
when did the jin dynasty begin,when did the song dynasty begin oh no the jin dynasty actually when did it begin,F F F E E E E E E F F E E E E F
what does the wg i summary for policymakers report say human activities are doing to greenhouse gases,what does the wg i summary for policymakers report say increased greenhouse gases cause or rather human activities are doing to greenhouse gases,F F F F F F F F F F E E E E E E F F F F F F F
 where did charles de gaulle and the free english run operations during world war 2,how did no where did charles de gaulle and the free english run operations during world war 2,E E E F F F F F F F F F F F F F F F
what kind of focus has the ethical reasoning program had since 2007,what kind of focus has the ethical reasoning program had since 2008 wait uh 2007,F F F F F F F F F F F E E E F
what foreign bodies which are older than the rocks themselves occur igneous rocks,which are older than the rocks themselves what foreign bodies occur igneous rocks ,E E E E E E E F F F E E E
what kind of measurements define accelerlations,what kind of measurements describe the proportionality of acceleration force to mass make that define accelerlations,F F F F E E E E E E E E E E F F
which two codes were the roles of pharmacists destroyed,which organizational structure remained no just two codes were the roles of pharmacists destroyed,F E E E E E F F F F F F F F
how many more flows carry insignificant amounts of water,how much or uh how many more flows carry insignificant amounts of water,F E E E E F F F F F F F F
what members typically open debates,what chambers sorry i mean members typically open debates,F E E E E F F F F
why is there not a push for the us to reduce consumer drug costs,why is there not a push for the us to reduce prescription no consumer drug costs,F F F F F F F F F F F E E F F F
when did england formally end war on france,when did austria uh nevermind uh england formally end war on france,F F E E E E F F F F F F
what is the french name for the rhine ,what is the dutch rather french name for the rhine,F F F E E F F F F F
what is malum in se considerations,how is or no rather what is malum in se considerations,E E E E E F F F F F F
what are the over 118 clubs run by students at the u of c called collectively,what are the over 118 clubs run by religious groups no students at the u of c called collectively,F F F F F F F F E E E F F F F F F F F
what fields have lost influence over pharmacy in the united states,what degree uh what fields have lost influence over pharmacy in the united states,F E E E F F F F F F F F F F
what is the maximum distance between a patients home and the nearest pharmacy that allows a physician in austria to give out medicine,what is the maximum distance between a patients home and the nearest pharmacy that permits umm rather allows a physician in austria to give out medicine,F F F F F F F F F F F F F F E E E F F F F F F F F F
what is the confusion of the french and indian war,how was no what is the confusion of the french and indian war,E E E F F F F F F F F F F
where does the jellylike layer come from in complex animals,what are ctenophores and cnidarians classified as no change that to where does the jellylike layer come from in complex animals,E E E E E E E E E E E F F F F F F F F F F
what do public schools operate outside of in germany,how do or no rather what do public schools operate outside of in germany,E E E E E F F F F F F F F F
what do mesoglea adapt to when relying on brackish water,when do scratch that what do mesoglea adapt to when relying on brackish water,E E E E F F F F F F F F F F
what cytokines are responsible for communication between white blood cells,name the cytokines responsible for communication between red no rather white blood cells,E E E E E E E E E E E E E
what are analog models often considered as compared to orogenic wedges,what are analog models often considered as compared to horizontal layers of sand no sorry of orogenic wedges,F F F F F F F F F E E E E E E E F F
what does ctenophore mean in greek,what does cilia mean in greek no ctenophore,F F E E E E E F
when was the divestment from south africa movement ,when was the blockade or uh  divestment from south africa movement,F F F E E E F F F F F
whose needs will the growth in pharmacy informatics meet,the needs of who will the growth in pharmacy informatics meet,E E E E E E E E E E E
28 is the minimum size of what,25 hold on 28 is the minimum size of what,E E E F F F F F F F
what patrols the body looking for phagocytes,what feature performs no no sorry what patrols the body looking for phagocytes,F E E E E E E F F F F F F
who lead the school back to leading research institution in 2oth century,who devised oh no lead the school back to leading research institution in 20th century,F E E E F F F F F F F F F E E
what types of medications do specialty pharmacies stock,what types of treatment oops no make that what medications carried by specialty pharmacies,F F F E E E E E E F E E E E
what relationship do finance initiatives involve,which or no make that what relationship do finance initiatives involve,E E E E E F F F F F F
what is the name of the american writer and satirist who is also a university alumni,which is the no rather what is the name of the american writer and satirist who is also a university alumni,E E E E E F F F F F F F F F F F F F F F F
who does sophocles defy,who does thebes actually no who does sophocles defy,F F E E E E E F F
what fluids are enzymes not found in,what fluids are pathogens wait no enzymes found in no not,F F F E E E F E E E F
most imperialism was carried out using which method of transport,how did colonialism not that i mean imperialism expand and what was its transport method,E E E E E E E E E E E E E E E
what issues were not addressed in the treaty of aixlachapelle,what issues were not addressed in the treaty of the atlantic oops make the the treaty of aixlachapelle,F F F F F F F F F E E E E E E E E F
there were many mongols with what expected status,there were many mongols with what social power no no dang it expected status,F F F F F F E E E E E E F F
what does a car have besides a commune,what city has districts with no powiat entitlements no change that to besides a commune what else does a car have,F E E E E E E E E E E E E E E E E F F F F
what rather than islamism requires explanation,when was um what rather than islamism requires explanation,E E E F F F F F F
how long was it clear how nk cells recognized tumors,what is one part of how long was it clear how nk cells recognized tumors,E E E E E F F F F F F F F F F
what continues until the building is well established and recognized,with common er what continues until the building is well established and recognized,E E E F F F F F F F F F F
how did natives in logstown take celerons information,what was logstowns response i mean how did the natives there take celerons information,E E E E E E F F E F E E E E
why do firms substitute equipment for workers,how do firms or rather why do firms substitute equipment for workers,E E E E E F F F F F F F
what do isolated spaced out graves of plague victims indicate,how does no make that what do isolated spaced out graves of plague victims indicate,E E E E E F F F F F F F F F F
when did wei yilin die,when did hu sihui die no wei yilin,F F E E E E F F
public bill committees have been set up to do what,public bill committees developed no they have been set up to do what,F F F E E E F F F F F F F
what were the two main theories of immunity at the end of the 19th century,question na,E E
jellyfish and sea anemones belong to which group,where do or tell me which group do jellyfish and sea anemones belong to,E E E E E E E E F F F F F F
what stature did pharmacists have in the preheian imperial court,what stature did physicians i mean pharmacists have in the preheian imperial court,F F F E E E F F F F F F F
when less workers are required what happens to the job market,when less workers are required what happens to the worker or uh job market,F F F F F F F F F E E E F F
what secretes pathogens that enhance the hosts immune response,what secretes pathogens that reduce no wait enhance the hosts immune response,F F F F E E E F F F F F
what is the chinese name for the yuan dynasty,who ended or rather what is the chinese name for the yuan dynasty,E E E E F F F F F F F F F
what occurs when electron clouds overlap from different atoms,what occurs when pauli repulsion no electron clouds overlap from different atoms,F F F E E E F F F F F F
who included 1 as the first prime number in the mid 18th century,how did no who included 1 as the first prime number in the mid 19th century no mid18th,E E E F F F F F F F F F F F E E E E
where do platycenida live,what do or instead first where do platycenida live,E E E E E F F F F
what issue has been plaguing the civil disobedience movement,what issue has been attacking or rather plaguing the civil disobedience movement,F F F F E E E F F F F F
who had no real military power during the yuan,when was the rule of no scratch that who had no real military power during the yuan,E E E E E E E E F F F F F F F F F
what might the fees to attend an irish boarding school rise to,along with no what might the fees to attend an irish boarding school rise to,E E E F F F F F F F F F F F F
what is another way to state the condition that infinitely many rows can exist only if a and q are coprime,how is no what is another way to state the condition that infinitely many rows can exist only if a and q are coprime,E E E F F F F F F F F F F F F F F F F F F F F F
how do centripetal forces act in relation to vectors of velocity,where does no how do centripetal forces act in relation to vectors of velocity,E E E F F F F F F F F F F F
what did the aser report show about how people feel about private schools,what is i mean what did the aser report show about how people feel about private schools,F E E E E F F F F F F F F F F F F
what does pleurobrachia incorporate into their own tentacles,what do vegetarians incorporate into their own tentacles im sorry i mean what do pleurobrachia incorporate,F E E E E E E E E E E E E E E E
the brotherhood was the only opposition group outside of egypt able to do what during elections,despite periodic repression the brotherhood has become one of the most influential movements in the islamic world and the brotherhood was the only opposition group outside of egypt able to do what during elections,E E E F F E E E E E E E E E E E E E E E F F F F F F F F F F F F F F
what is the main component of the aboral organ,what protects eh maybe what is the main component of the aboral organ,F E E E E F F F F F F F F
how much funding did the rand corporation receive,what did  no how much funding did the rand corporation receive,E E E F F F F F F F F
what park is close to vistula street,what city is close to vistula street i mean park what park it close to it,F E E E E E E E E F E E E E E E
how long after a banquet with tugh temur did kusala die,how long after  being installed as the emperor no a banquet with tugh temur did kusala die,F F F E E E E E E F F F F F F F F
which languages rejected the phagspa script,which languages used the phagspa script or rather which languages rejected it,F F E E E E E E E E F E
what is the magnitude of force divided by when external force is added,what experiences er what is the magnitude of force divided by when external force is added,F E E E F F F F F F F F F F F F
who didnt abercrombie replace as commander in chief,who didnt abercrombie replace as captain errmm rather commander in chief,F F F F F E E E F F F
cristian bays encyclopedia concludes that civil disobedience does not only include what behavior,civil disobedience does not only include what thought actually behavior according to cristian bays encyclopedia,E E E E E E E E E E E E F F F
what area is the tower district similar to in architecture,what area is the mediterranean revival style no not that i mean the tower district similar to in architecture,F F F F E E E E E E E E E F F F F F F
what army was pushing deep into polish territory to pursue the home army fighters in 1944,why did er what army was pushing deep into polish territory to pursue the home army fighters in 1944,E E E F F F F F F F F F F F F F F F F
which theorem can be simplified to the laskernoether theorem,what or no make that which theorem can be simplified to the lasker noether theorem,E E E E E F F F F F F F E E E
how many coordinating lead authors does an ipcc report chapter have,how does or no make that how many coordinating lead authors does an ipcc report chapter have,F E E E E E E F F F F F F F F F F
 where did france lose a war in the 1940s,where did france lose a war in the 60s oh actually in the 1940s,F F F F F F F F E E E E E F
what time do the msps normally decide on the motions and amendments from that day,what time does the presiding officer no the msps normally decide on the motions and amendments from that day,F F E E E E E E E E E E E E E E E E E
what kind of barrier does not protect organisms from infection,what kind of cuticle er like barrier does not protect organisms from infection,F F F E E E F F F F F F F
what are some small pharmacy management companies,where do er what are some small pharmacy management companies,E E E F F F F F F F
when was alnimeiry overthrown,what did um when was alnimeiry overthrown,E E E F F F F
who ordered the stern review,who stated or who ordered the stern review,F E E E F F F F
 in which century do most consider the beginning of imperialism,in which century by what term is a type of advocacy of empire known no do most consider the beginning of imperialism,F F F E E E E E E E E E E E E F F F F F F F
what building is the most interesting of the late 19thcentury architecture,what government er building is the most interesting of the late 19thcentury architecture,F E E F F F F F F F F F F
sponges have three main cell layers and no what,cnidarians or no make that sponges have three main cell layers and no what,E E E E E F F F F F F F F F
what is the name of another type of test where p1 or p1 takes a certain shape,of what form are sophie germain primes or rather just what is the name of another type of test where p1 or p1 takes a certain shape,E F E E E E E E E E E F F F F F F F F F F F F F F F F
large public works dams bridges highways waterwastewater and utility distribution are under what construction sector,what construction sector are large public works dams bridges highways waterwastewater and utility distribution under ,E E E E F F F F F F F F F F E
what cells are the second arm of the innate immune system,what kind er what cells are the second arm of the innate immune system,F E E E F F F F F F F F F F
what year was st elizabeth born,what flows er what year was st elizabeth born,F E E E F F F F F
what difficulties was shirly having,what difficulties was johnson no shirley having,F F F E E E E
when will an object move because the applied force is opposed by static friction,when would there be no movement or acceleration no remove this and tell me when would an object move because the applied force is opposed by static friction,F E E E E E E E E E E E E E E E E E E E E E E E E E E E
cilia can g ow up too what length,how long does flagella no sorry cilia get,E E E E E E F E
if parliament agrees in a vote to the general principle of a bill what does it then proceed to,if the presiding officer er uh parliament agrees in a vote to the general principle of a bill what does it then proceed to,F E E E E E F F F F F F F F F F F F F F F F F F
whos services do construction services integrate through design and construction,what helps er whos services do construction services integrate through design and construction,E E E F F F F F F F F F F
during what period was the tethys floor discovered,when did no no um during what period was the tethys floor discovered,E E E E E F F F F F F F F
how many bits are typically used in the key exchange logarithms for for the diffiehellman key exchange,how many bits are typically used in the rsa and 1024bit wait hold up no key exchange logarithms for for the diffiehellman key exchange,F F F F F F F F E E E E E E E F F F F F F F F F
what kind of disorders are the result of an overactive immune response,what kind of diseases i mean disorders are the result of an overactive immune response,F F F E E E F F F F F F F F F
presidents in the governing party introduce what laws,parliament ugh instead residents in the governing party introduce what laws,E E E E E E E E E E E
who owns more wealth than the bottom 90 percent of people in the us,who owns more wealth than the bottom 90 percent of people in new york or make that in the us,F F F F F F F F F F F F E E E E E E F F
what sea have copepods accidentially been released into,what seas have phytoplankton accidentally been released into oh make that copepods,F E E E E E E E E E E E
during what years was the model united nations team ranked first in south america,during what years was the model united nations team ranked first in north umm rather south america,F F F F F F F F F F F F E E E F F
what area remained uninhabited for thousands of years ,what city well area actually remained uninhabited for thousands of years,F E E F E F F F F F F
what is heralded by the sounding of the deciding bell,what is heralded by the chamber i mean the sounding of the deciding bell,F F F F F E E E E F F F F F
europe first colonized the americas then asia but what continent was third,europe first colonized the americas then asia but what continent was fourth umm i mean third,F F F F F F F F F F F E E E E F
what percentage of seats did political parties identifying as islamist win in the egyptian parliamentary election of 20112012,which percentage of no make that what percentage of seats did political parties identifying as islamist win in the egyptian parliamentary election of 20112012,E E E E E E F F F F F F F F F F F F F F F F F F
what book of the bible is knowledge of the law traced back to,what book of the bible is recognized no publicly no is knowledge of the law traced back to,F F F F F F E E E E E F F F F F F F
who was shi tianzes father,what dynasty or uh who was shi tianzes father,E E E E F F F F F
in what year did robert harper become the first president of the university,in what year did john d rockefeller err rather robert harper become the first president of the university,F F F F E E E E E F F F F F F F F F
since what year did the university offer a doctorate in cinema  media studies,since what year did the program or rather university offer a doctorate in cinema  media studies,F F F F F E E E F F F F F F F F
in addition to endowments and tuition how do boarding schools cover their operating costs,in addition to endowments and tuition how do private schools or rather boarding schools cover their operating costs,F F F F F F F F E E E E F F F F F F
 who was shi tianzes uncle,who was shi bingzhis uncle ah darn i meant shi tianzes,F F F E E E E E E E F
what is an example of a peerreviewed resource,what must  no what is an example of a peerreviewed resource,F E E E F F F F F F F
how many intercollegiate sports does harvard compete in ncaa division i,how many intercollegiate sports does oxford or rather harvard compete in ncaa division i,F F F F F E E E F F F F F F
in the fall quarter of 2014 how many students signed up for the universitys professional schools,in the fall quarter of 2015 or rather of 2014 how many students signed up for the universitys professional schools,F F F F F E E E E F F F F F F F F F F F
what kind of cell is not an innate leukocyte,what kind of microorganism no no wait what kind of cell is not an innate leukocyte,F F F E E E E E E E F F F F F F
theories on imperialism dont use which country as a model,theories on idealism dont use which country as a model no imperialism,F F E E E E E E E E E F
who came up with the theory of relativity,when was or actually tell me who came up with the theory of relativity,E E E E E E F F F F F F F F
what is the strongest main interaction,what is the standard model no the strongest main interaction,F F F E E E E F F F
who rejected an index of health and social problems,what i mean who rejected an index of health and social problems,E E E F F F F F F F F F
which organizations delegates has a disagreement with the spm,which organizations delegates has an agreement with the spm no a disagreement with the spm,F F F F E E E E E E F F F F F
what did the velvet revolution hope to accomplish in india,how did the no make that what did the velvet revolution hope to accomplish in india,E E E E E E F F F F F F F F F F
what increases rapidly as per capita income increases,what did higher material living wait i mean what increases rapidly as per capita income increases,F E E E E E E E E F F F F F F F
who runs the unep council,who runs the wmo or no make that the unep council,F F F E E E E E E F F
what is the potential earnings for a job where there are few skilled workers but many available positions,what has the tendency is the potential earnings for a job where there are few skilled workers but many available positions,F E E E F F F F F F F F F F F F F F F F F
what is the name of an integer in which addition subtraction and multiplication are defined,which is the no make that what is the name of an integer in which addition subtraction and multiplication are defined,E E E E E E F F F F F F F F F F F F F F F
how many rooms does the katyn historical museum have,how many museums oops rooms does the katyn historical museum have,F F E E F F F F F F F
 what was tughs japanesestyle name,how well or rather what was tughs japanesestyle name,E E E E F F F F F
what enzyme is not an antibacterial,what enzyme is a sorry i meant not an antibacterial,F F F E E E E F F F
what is the virus in humans that causes cervical cancer,what is the process excuse me the virus in humans that causes cervical cancer,F F F E E E E F F F F F F F
the strong force is due to the exchange of what,how many er the strong force is due to the exchange of what,E E E F F F F F F F F F F
which country today is a remnant of the ottoman empire,what place which country today is a remnant of the ottoman empire,E E F F F F F F F F F F
